START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/09/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/09/21,05/09/21,04:20 PM,05:20 PM,FALSE,TRUE,05/09/21,12:20 PM,01:20 PM,FREE,BUSY
05/17/21,06:40 PM,07:40 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/17/21,05/17/21,09:40 PM,10:40 PM,FALSE,TRUE,05/17/21,05:40 PM,06:40 PM,FREE,BUSY
05/18/21,06:40 PM,07:40 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/18/21,05/18/21,09:40 PM,10:40 PM,FALSE,TRUE,05/18/21,05:40 PM,06:40 PM,FREE,BUSY
05/19/21,06:40 PM,07:40 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/19/21,05/19/21,09:40 PM,10:40 PM,FALSE,TRUE,05/19/21,05:40 PM,06:40 PM,FREE,BUSY
05/20/21,01:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/20/21,05/20/21,04:20 PM,05:20 PM,FALSE,TRUE,05/20/21,12:20 PM,01:20 PM,FREE,BUSY
05/28/21,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/28/21,05/28/21,04:20 PM,05:20 PM,FALSE,TRUE,05/28/21,12:20 PM,01:20 PM,FREE,BUSY
05/29/21,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",05/29/21,05/29/21,04:20 PM,05:20 PM,FALSE,TRUE,05/29/21,12:20 PM,01:20 PM,FREE,BUSY
05/30/21,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",05/30/21,05/30/21,04:20 PM,05:20 PM,FALSE,TRUE,05/30/21,12:20 PM,01:20 PM,FREE,BUSY
05/31/21,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",05/31/21,05/31/21,04:20 PM,05:20 PM,FALSE,TRUE,05/31/21,12:20 PM,01:20 PM,FREE,BUSY
06/01/21,07:05 PM,08:05 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/01/21,06/01/21,10:05 PM,11:05 PM,FALSE,TRUE,06/01/21,06:05 PM,07:05 PM,FREE,BUSY
06/02/21,01:20 PM,02:20 PM,Padres at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/02/21,06/02/21,04:20 PM,05:20 PM,FALSE,TRUE,06/02/21,12:20 PM,01:20 PM,FREE,BUSY
06/11/21,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",06/11/21,06/11/21,04:20 PM,05:20 PM,FALSE,TRUE,06/11/21,12:20 PM,01:20 PM,FREE,BUSY
